Price,Bedrooms,Bathrooms,Garage,Furnished,Amenity_Annexe (Boys' quarters),Amenity_Garage,Amenity_Garden,Amenity_Generator,Amenity_Refrigerator,Amenity_Swimming pool,Amenity_Pets allowed,Amenity_Open car spaces,Amenity_Fans,Amenity_Water reservoir,Amenity_Microwave,Amenity_Internet,Amenity_Security service,Amenity_Secure parking,Amenity_Washing machine,Amenity_Air conditioning,Amenity_Cooker,Amenity_Dstv,Amenity_Roof terrace,LogPrice,comfortFeatures,utilityFeatures,connectivityFeatures,luxuryFeatures,exSpace
30940.0,4,5,2,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,10.339805124127057,6,4,1,3,1
4000.0,1,3,3,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,8.294049640102028,2,2,0,1,0
5000.0,1,1,2,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,8.517193191416238,2,2,0,1,0
20111.0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.909022208034603,0,0,0,0,0
13923.0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,9.541297427909285,5,2,2,0,0
38674.0,2,2,2,1,0,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,10.562922818610538,6,4,2,1,0
69614.0,3,3,3,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,11.150720975519965,6,4,2,2,1
41768.0,2,2,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,1,1,1,0,0,10.639885775090388,5,3,1,0,0
35580.0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,10.479538961219825,5,0,2,0,0
38674.0,2,3,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,10.562922818610538,5,2,1,0,0
18564.0,3,4,4,0,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,1,1,1,9.828979500361067,4,3,2,2,1
49503.0,4,4,3,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,10.809788552780915,6,3,2,2,0
38674.0,2,3,2,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,10.562922818610538,6,4,2,2,0
10829.0,2,3,2,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,9.28998299962838,2,2,0,0,0
5000.0,2,3,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,8.517193191416238,2,1,0,0,0
3500.0,3,4,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,8.160518247477505,3,4,2,2,0
13149.0,3,4,3,0,0,1,1,1,0,1,0,0,1,1,0,1,1,0,0,1,1,0,1,9.484100989086919,3,4,1,3,0
18000.0,3,4,3,1,0,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,9.798127036878302,6,3,2,2,0
1036.0,1,2,2,1,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,1,1,1,0,6.943122422819428,5,2,1,1,0
3000.0,1,1,6,0,0,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,1,1,1,8.006367567650246,5,3,1,2,0
34033.0,1,2,0,1,0,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,10.435085921117388,6,4,2,1,0
23205.0,2,3,0,1,0,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,10.052123051675276,5,3,2,3,0
27936.0,3,4,0,1,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,10.237671458639328,6,3,2,0,0
18564.0,2,3,2,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,9.828979500361067,6,3,2,2,0
42000.0,3,3,2,1,0,1,0,1,1,1,0,0,0,1,1,0,1,0,1,1,1,0,0,10.645424897265505,5,4,0,1,0
69614.0,4,5,6,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,11.150720975519965,6,4,2,2,1
13950.0,3,3,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,9.543234787249512,1,3,0,0,0
123758.0,4,5,5,0,1,1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,1,1,0,11.72608332480609,4,4,2,2,1
15470.0,1,1,3,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,9.646657943567112,6,3,1,0,0
34033.0,2,2,3,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,10.435085921117388,3,4,0,1,1
12000.0,3,2,3,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,9.392661928770137,3,1,0,1,1
16200.0,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.692766521220475,0,0,0,0,0
